Date,Item, Category , Cash Jaz , Credit Jaz , Debit BBVA Jaz , Debit HSBC Jaz , Groceries Jaz , Cash Ivan , Credit Ivan Hey , Credit Ivan BBVA , Debit Ivan , Groceries Ivan 
03/Sep/2021,Nutrisa (Hey), Eat Out ,,,, $ 70.00 ,,,,,,
07/Sep/2021,Gasolina, Car ,,,,,,, $ 683.70 ,,,
01/Sep/2021,Licencia, Services ,,,,,,, $ 900.00 ,,,
31/Aug/2021,Sams (Hey), Food Med ,,,," $ 1,105.60 ",,,,,,
27/Aug/2021,Gasolina, Car ,,,,,,, $ 455.00 ,,,
01/Sep/2021,Mishu, Car ,,," $ 5,736.33 ",,,,,," $ 5,736.33 ",
05/Sep/2021,Haircut, Services ,,,,,,,,, $ 270.00 ,
05/Sep/2021,Parking, Go Out ,,,,,, $ 21.00 ,,,,
05/Sep/2021,Casa Tono, Eat Out ,,,,,,,,,,
04/Sep/2021,Papas, Food Med ,,,,,, $ 46.00 ,,,,
04/Sep/2021,Brocoli, Food Med ,,,,,, $ 12.00 ,,,,
04/Sep/2021,Longaniza, Food Med ,,,,,, $ 41.00 ,,,,
04/Sep/2021,"Carbon, beer", Eat Out ,,,,,,,,,,
09/Sep/2021,Fonda pelos, Eat Out ,,,,,,,,,,
09/Sep/2021,Semana Reyna, Food Med ,,,," $ 1,500.00 ",,,,,,
10/Sep/2021,Repuestos de aspirador nasal, Baby ,, $ 95.00 ,,,,,,,,
08/Sep/2021,Pan, Eat Out ,,,,,, $ 15.00 ,,,,
11/Sep/2021,Tamales, Eat Out , $ 30.00 ,,,,, $ 2.00 ,,,,
10/Sep/2021,Mezcal, Eat Out ,,,,,, $ 500.00 ,,,,
12/Sep/2021,Chicharron preparado, Eat Out , $ 35.00 ,,,,,,,,,
12/Sep/2021,Baño, Go Out , $ 5.00 ,,,,,,,,,
12/Sep/2021,Caballo, Go Out , $ 20.00 ,,,,,,,,,
12/Sep/2021,Comida, Eat Out , $ 600.00 ,,,,,,,,,
12/Sep/2021,Platanos, Eat Out , $ 80.00 ,,,,,,,,,
10/Sep/2021,Gasolina, Car ,,,,,,, $ 455.80 ,,,
13/Sep/2021,Amazon Prime, Entretainment ,,,,,,, $ 99.00 ,,,
13/Sep/2021,Carne molida IG, Food Med , $ 49.00 ,,,,,,,,,
13/Sep/2021,Omega 3 IG, Baby ,, $ 309.99 ,,,,,,,,
13/Sep/2021,Gasolina, Car , $ 5.00 ,,,,,, $ 455.80 ,,,
13/Sep/2021,Recarga Tag, Go Out ,,,,,,,, $ 300.00 ,,
14/Sep/2021,Autopista Santa FE, Go Out , $ 9.00 ,,,,,,,,,
14/Sep/2021,Estacionamiento, Go Out , $ 40.00 ,,,,,,,,,
14/Sep/2021,Impresion, Services , $ 6.50 ,,,,,,,,,
15/Sep/2021,Estacionamiento, Go Out , $ 15.00 ,,,,,,,,,
15/Sep/2021,Cell Ivan, Services ,,,,,,, $ 150.00 ,,,
01/Sep/2021,Youtube, Entretainment ,,,,,,,, $ 99.00 ,,
16/Sep/2021,Paint and Beer, Go Out ,,,,,,,,, $ 658.00 ,
16/Sep/2021,Estacionamiento, Go Out ,,,,,, $ 20.00 ,,,,
16/Sep/2021,Cubre Bocas, Food Med ,,,,,,, $ 457.00 ,,,
16/Sep/2021,Aceite y Hielo, Food Med , $ 196.00 ,,,,,,,,,
16/Sep/2021,Walmart, Food Med ,,,,," $ 2,253.28 ",,,,, $ 521.92 
16/Sep/2021,Tamales, Eat Out , $ 80.00 ,,,,,,,,,
